,0.4,0.6,0.8,1.0,1.2
140,46.225,61.357,81.738,60.799,47.775
160,27.937,31.517,51.685,42.731,39.483
180,33.564,32.843,28.237,38.244,41.318
200,20.207,20.991,25.976,53.561,47.638
220,14.358,23.898,47.654,43.694,45.257
240,19.76,30.26,25.629,35.311,44.007
260,16.338,17.23,27.331,28.754,37.256
280,14.683,23.411,19.92,29.261,65.34
300,18.266,15.576,27.539,18.028,23.361
320,14.617,28.089,29.049,20.875,36.103
340,12.983,21.294,30.445,25.821,27.342
360,11.67,18.904,16.04,18.489,20.081
380,12.427,15.537,12.795,26.029,24.933
