,0.4,0.6,0.8,1.0,1.2
140,33.977,57.365,49.518,46.688,44.849
160,31.16,28.292,43.469,47.811,47.486
180,25.643,32.496,34.872,51.795,43.466
200,27.096,23.864,34.235,40.307,42.027
220,17.135,22.206,32.206,54.072,59.861
240,22.714,26.626,34.298,55.709,58.107
260,20.217,31.773,45.979,37.817,49.203
280,16.336,20.951,28.313,33.696,41.694
300,25.2,24.955,29.757,20.107,34.878
320,20.131,20.523,32.461,44.965,39.7
340,18.018,29.047,34.19,38.356,32.126
360,15.404,22.605,18.479,19.743,45.729
380,11.368,21.849,15.547,56.09,41.265
