,power,speed,sa_value
0,140.0,0.4,33.977
1,140.0,0.6,57.365
2,140.0,0.8,49.518
3,140.0,1.0,46.688
4,140.0,1.2,44.849
5,160.0,0.4,31.16
6,160.0,0.6,28.292
7,160.0,0.8,43.469
8,160.0,1.0,47.811
9,160.0,1.2,47.486
10,180.0,0.4,25.643
11,180.0,0.6,32.496
12,180.0,0.8,34.872
13,180.0,1.0,51.795
14,180.0,1.2,43.466
15,200.0,0.4,27.096
16,200.0,0.6,23.864
17,200.0,0.8,34.235
18,200.0,1.0,40.307
19,200.0,1.2,42.027
20,220.0,0.4,17.135
21,220.0,0.6,22.206
22,220.0,0.8,32.206
23,220.0,1.0,54.072
24,220.0,1.2,59.861
25,240.0,0.4,22.714
26,240.0,0.6,26.626
27,240.0,0.8,34.298
28,240.0,1.0,55.709
29,240.0,1.2,58.107
30,260.0,0.4,20.217
31,260.0,0.6,31.773
32,260.0,0.8,45.979
33,260.0,1.0,37.817
34,260.0,1.2,49.203
35,280.0,0.4,16.336
36,280.0,0.6,20.951
37,280.0,0.8,28.313
38,280.0,1.0,33.696
39,280.0,1.2,41.694
40,300.0,0.4,25.2
41,300.0,0.6,24.955
42,300.0,0.8,29.757
43,300.0,1.0,20.107
44,300.0,1.2,34.878
45,320.0,0.4,20.131
46,320.0,0.6,20.523
47,320.0,0.8,32.461
48,320.0,1.0,44.965
49,320.0,1.2,39.7
50,340.0,0.4,18.018
51,340.0,0.6,29.047
52,340.0,0.8,34.19
53,340.0,1.0,38.356
54,340.0,1.2,32.126
55,360.0,0.4,15.404
56,360.0,0.6,22.605
57,360.0,0.8,18.479
58,360.0,1.0,19.743
59,360.0,1.2,45.729
60,380.0,0.4,11.368
61,380.0,0.6,21.849
62,380.0,0.8,15.547
63,380.0,1.0,56.09
64,380.0,1.2,41.265
